sample_id,group,stratum
GSM756992,DKD,single_stratum
GSM756993,DKD,single_stratum
GSM756994,DKD,single_stratum
GSM756995,DKD,single_stratum
GSM756996,DKD,single_stratum
GSM756997,DKD,single_stratum
GSM756998,DKD,single_stratum
GSM756999,DKD,single_stratum
GSM757000,DKD,single_stratum
GSM757001,CONTROL,single_stratum
GSM757002,CONTROL,single_stratum
GSM757003,CONTROL,single_stratum
GSM757004,CONTROL,single_stratum
GSM757005,CONTROL,single_stratum
GSM757006,CONTROL,single_stratum
GSM757007,CONTROL,single_stratum
GSM757008,CONTROL,single_stratum
GSM757009,CONTROL,single_stratum
GSM757010,CONTROL,single_stratum
GSM757011,CONTROL,single_stratum
GSM757012,CONTROL,single_stratum
GSM757013,CONTROL,single_stratum
